Portal,Przypisany koszyk
Onet.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Gazeta.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Natemat.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Krytykapolityczna.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Oko.press,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Newsweek.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Polityka.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Tvn24.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Tokfm.pl,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Strajk.eu,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Trybuna.info,"Lewica, progresywizm, liberalizm, socjalizm, KO-based"
Niezalezna.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Wpolityce.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Dorzeczy.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Prawy.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Tvrepublika.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Radiomaryja.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
Tysol.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"
PCh24.pl,"Prawica, konserwatyzm, tradycjonalizm, PiS-based"